trend_id,token_type,platform,date,volume,engagement,audience_signals,category,geo,raw_token,growth_rate_7d,acceleration,current_stage,recommended_action,sweet_spot_days_left
##shorts,hashtag,youtube,2025-09-08,9739,37255097,"{'gen_z': np.float64(0.45), 'millennials': np.float64(0.55)}","['lifestyle', 'health', 'general']","['hi', 'en', 'ru', 'ur', 'en-GB', 'en-IN', 'en-US', 'ta', 'bn-IN', 'bn', 'zxx', 'hi-Latn', 'or', 'fa-IR', 'id', 'kn', 'te', 'zh-CN', 'ar', 'it']",##shorts,-0.111,0.667,peak,Maintain visibility,0.0
##makeup,hashtag,youtube,2025-09-08,4091,70248158,"{'gen_z': np.float64(0.65), 'millennials': np.float64(0.35)}","['lifestyle', 'general', 'health']","['en', 'en-GB', 'hi', 'en-IN', 'ml', 'es', 'id', 'en-US', 'ur', 'de-AT', 'mr', 'zxx', 'bn-IN', 'te', 'en-CA', 'es-419', 'bn', 'pt', 'hi-Latn', 'ar', 'en-AU', 'kn', 'es-ES']",##makeup,0.0,-0.333,declining,Too late,0.0
##yoga,hashtag,youtube,2025-09-08,3075,1352141,"{'gen_z': np.float64(0.53), 'millennials': np.float64(0.47)}","['health', 'lifestyle', 'general']","['hi', 'en', 'en-IN', 'zxx']",##yoga,1.0,0.333,emerging,Hop on now,7.0
##facelift,hashtag,youtube,2025-09-08,2407,616522,"{'gen_z': np.float64(0.54), 'millennials': np.float64(0.46)}","['health', 'lifestyle']","['en-US', 'es', 'en', 'zxx', 'hi']",##facelift,0.0,0.667,peak,Maintain visibility,0.0
##beauty,hashtag,youtube,2025-09-08,2038,44001722,"{'gen_z': np.float64(0.77), 'millennials': np.float64(0.23)}","['lifestyle', 'general', 'health']","['en-US', 'en', 'hi', 'en-IN', 'en-GB', 'id', 'de-AT', 'ur', 'zxx', 'es-419', 'en-CA', 'pt', 'mr', 'ru', 'ta', 'ko', 'ne', 'de']",##beauty,0.0,0.0,declining,Too late,0.0
##skincare,hashtag,youtube,2025-09-08,1868,7972476,"{'gen_z': np.float64(0.49), 'millennials': np.float64(0.51)}","['health', 'lifestyle', 'general']","['en-US', 'ml', 'id', 'en', 'en-IN', 'ur', 'en-GB', 'hi', 'es-419', 'ta', 'hi-Latn', 'te', 'zxx', 'ko', 'en-CA', 'fa-IR']",##skincare,0.0,1.0,peak,Maintain visibility,0.0
##youtubeshorts,hashtag,youtube,2025-09-08,1745,10299515,"{'gen_z': np.float64(0.63), 'millennials': np.float64(0.37)}","['lifestyle', 'general']","['hi', 'en-GB', 'as', 'en', 'bn-IN', 'en-US', 'ml', 'ur']",##youtubeshorts,0.5,0.333,emerging,Hop on now,7.0
##trending,hashtag,youtube,2025-09-08,1630,7264627,"{'gen_z': np.float64(0.49), 'millennials': np.float64(0.51)}","['health', 'lifestyle', 'general', 'food']","['hi', 'en', 'ur', 'bn-IN', 'en-GB', 'en-IN', 'zxx', 'en-US', 'ta']",##trending,-0.1,-0.714,declining,Too late,0.0
##wrinkles,hashtag,youtube,2025-09-08,1616,103202,"{'gen_z': np.float64(0.46), 'millennials': np.float64(0.54)}","['lifestyle', 'health']","['ur', 'en-US', 'en', 'zxx', 'hi']",##wrinkles,0.333,0.333,emerging,Hop on now,7.0
##faceyoga,hashtag,youtube,2025-09-08,1555,1467940,"{'gen_z': np.float64(0.79), 'millennials': np.float64(0.21)}","['lifestyle', 'health', 'general']","['hi', 'en-US', 'en-IN', 'en']",##faceyoga,0.333,0.333,emerging,Hop on now,7.0
##makeuptutorial,hashtag,youtube,2025-09-08,1534,2256057,"{'gen_z': np.float64(0.54), 'millennials': np.float64(0.46)}",['lifestyle'],"['es', 'en', 'hi', 'en-GB', 'ur', 'bn-IN', 'en-US', 'zxx']",##makeuptutorial,2.0,0.333,emerging,Hop on now,7.0
##hair,hashtag,youtube,2025-09-08,1421,8973108,"{'gen_z': np.float64(0.51), 'millennials': np.float64(0.49)}","['lifestyle', 'health', 'food']","['en', 'ur', 'en-GB', 'en-US', 'zxx', 'hi', 'ta', 'bn', 'ar', 'ru', 'en-IN', 'az']",##hair,0.0,0.333,peak,Maintain visibility,0.0
##viral,hashtag,youtube,2025-09-08,1308,9761164,"{'gen_z': np.float64(0.69), 'millennials': np.float64(0.31)}","['health', 'lifestyle', 'general']","['hi', 'en-US', 'en', 'ur', 'en-IN', 'en-GB', 'bn', 'bn-IN', 'zxx', 'ta', 'id']",##viral,0.0,-0.714,declining,Too late,0.0
##hairstyle,hashtag,youtube,2025-09-08,1307,9304776,"{'gen_z': np.float64(0.67), 'millennials': np.float64(0.33)}","['lifestyle', 'health']","['en', 'en-IN', 'hi', 'en-US', 'ta', 'de', 'en-GB', 'bn', 'ur', 'ru', 'zxx']",##hairstyle,0.5,0.333,emerging,Hop on now,7.0
##facialyoga,hashtag,youtube,2025-09-08,1245,327236,"{'gen_z': np.float64(0.67), 'millennials': np.float64(0.33)}","['health', 'lifestyle']","['en', 'hi']",##facialyoga,1.0,0.333,emerging,Hop on now,7.0
##antiaging,hashtag,youtube,2025-09-08,1174,705318,"{'gen_z': np.float64(0.46), 'millennials': np.float64(0.54)}","['health', 'lifestyle', 'general']","['hi', 'en-US', 'en-IN', 'en']",##antiaging,0.0,-0.333,declining,Too late,0.0
#makeup,hashtag,youtube,2025-09-08,954,70248158,"{'gen_z': np.float64(0.59), 'millennials': np.float64(0.41)}","['lifestyle', 'general', 'health']","['en', 'en-GB', 'hi', 'en-IN', 'ml', 'es', 'id', 'en-US', 'ur', 'de-AT', 'mr', 'zxx', 'bn-IN', 'te', 'en-CA', 'es-419', 'bn', 'pt', 'hi-Latn', 'ar', 'en-AU', 'kn', 'es-ES']",#makeup,0.0,-0.333,declining,Too late,0.0
##39,hashtag,youtube,2025-09-08,925,0,"{'gen_z': np.float64(0.74), 'millennials': np.float64(0.26)}",[],[],##39,,,,,
##grwm,hashtag,youtube,2025-09-08,915,7970465,"{'gen_z': np.float64(0.67), 'millennials': np.float64(0.33)}","['lifestyle', 'health']","['hi', 'en', 'en-US', 'en-GB', 'mr', 'en-IN', 'es-419', 'en-CA', 'ur', 'ml', 'ta']",##grwm,0.2,0.0,peak,Maintain visibility,0.0
##haircare,hashtag,youtube,2025-09-08,844,1249917,"{'gen_z': np.float64(0.48), 'millennials': np.float64(0.52)}","['lifestyle', 'general']","['hi', 'en-US', 'en', 'ur', 'en-IN', 'zxx', 'az', 'bn']",##haircare,0.0,0.333,peak,Maintain visibility,0.0
##glowingskin,hashtag,youtube,2025-09-08,831,1040581,"{'gen_z': np.float64(0.41), 'millennials': np.float64(0.59)}","['general', 'lifestyle', 'health']","['id', 'en-IN', 'hi', 'en', 'en-CA', 'en-US']",##glowingskin,0.0,0.333,peak,Maintain visibility,0.0
##fashion,hashtag,youtube,2025-09-08,809,6730420,"{'gen_z': np.float64(0.71), 'millennials': np.float64(0.29)}","['lifestyle', 'general', 'health']","['en', 'en-GB', 'en-US', 'ta', 'zxx', 'en-IN', 'ur', 'hi', 'id', 'mr', 'pl', 'es', 'ml']",##fashion,1.0,0.0,peak,Maintain visibility,0.0
#shorts,hashtag,youtube,2025-09-08,803,37255097,"{'gen_z': np.float64(0.57), 'millennials': np.float64(0.43)}","['lifestyle', 'health', 'general']","['hi', 'en', 'ru', 'ur', 'en-GB', 'en-IN', 'en-US', 'ta', 'bn-IN', 'bn', 'zxx', 'hi-Latn', 'or', 'fa-IR', 'id', 'kn', 'te', 'zh-CN', 'ar', 'it']",#shorts,-0.111,0.667,peak,Maintain visibility,0.0
##ytshorts,hashtag,youtube,2025-09-08,762,7057467,"{'gen_z': np.float64(0.5), 'millennials': np.float64(0.5)}","['lifestyle', 'health', 'general']","['hi', 'en', 'en-IN', 'zxx', 'en-US', 'ur']",##ytshorts,0.0,0.0,declining,Too late,0.0
##viralvideo,hashtag,youtube,2025-09-08,757,1136088,"{'gen_z': np.float64(0.77), 'millennials': np.float64(0.23)}","['lifestyle', 'general']","['hi', 'as', 'en', 'ur']",##viralvideo,1.0,0.333,emerging,Hop on now,7.0
##short,hashtag,youtube,2025-09-08,748,3085219,"{'gen_z': np.float64(0.6), 'millennials': np.float64(0.4)}","['lifestyle', 'general', 'health']","['ru', 'en', 'hi', 'en-IN', 'en-US', 'zxx', 'ml']",##short,0.5,0.0,peak,Maintain visibility,0.0
##lipstick,hashtag,youtube,2025-09-08,676,24472980,"{'gen_z': np.float64(0.73), 'millennials': np.float64(0.27)}","['lifestyle', 'general']","['en', 'hi', 'en-US', 'en-GB', 'en-CA', 'ur', 'zxx', 'en-IN', 'as', 'kn']",##lipstick,0.0,0.333,peak,Maintain visibility,0.0
##fyp,hashtag,youtube,2025-09-08,624,654153,"{'gen_z': np.float64(0.57), 'millennials': np.float64(0.43)}","['lifestyle', 'health']","['en-US', 'ur', 'bn-IN', 'en', 'hi-Latn', 'hi', 'en-GB']",##fyp,1.0,0.333,emerging,Hop on now,7.0
##facial,hashtag,youtube,2025-09-08,595,54929,"{'gen_z': np.float64(0.54), 'millennials': np.float64(0.46)}","['lifestyle', 'health']","['en', 'hi', 'es-419', 'zxx', 'ur']",##facial,0.0,0.333,peak,Maintain visibility,0.0
##shortsfeed,hashtag,youtube,2025-09-08,588,1324977,"{'gen_z': np.float64(0.4), 'millennials': np.float64(0.6)}",['lifestyle'],"['bn-IN', 'hi', 'ur', 'en-US']",##shortsfeed,1.0,0.0,peak,Maintain visibility,0.0
##skincareroutine,hashtag,youtube,2025-09-08,536,205523,"{'gen_z': np.float64(0.41), 'millennials': np.float64(0.59)}","['general', 'lifestyle', 'health']","['id', 'en-IN', 'en', 'ur', 'hi', 'en-US']",##skincareroutine,0.25,-0.333,peak,Maintain visibility,0.0
##glowup,hashtag,youtube,2025-09-08,533,399275,"{'gen_z': np.float64(0.53), 'millennials': np.float64(0.47)}","['lifestyle', 'health', 'general']","['zxx', 'en', 'hi', 'en-US']",##glowup,0.0,-0.333,declining,Too late,0.0
##hairtransformation,hashtag,youtube,2025-09-08,503,329450,"{'gen_z': np.float64(0.6), 'millennials': np.float64(0.4)}",['lifestyle'],"['en', 'es', 'en-US', 'zxx']",##hairtransformation,1.0,0.0,peak,Maintain visibility,0.0
##shortvideo,hashtag,youtube,2025-09-08,503,1508,"{'gen_z': np.float64(0.56), 'millennials': np.float64(0.44)}",['lifestyle'],"['hi', 'zxx']",##shortvideo,1.0,0.333,emerging,Hop on now,7.0
##haircut,hashtag,youtube,2025-09-08,499,2248394,"{'gen_z': np.float64(0.58), 'millennials': np.float64(0.42)}","['lifestyle', 'health', 'general']","['en-US', 'en', 'de', 'en-GB', 'hi', 'ur', 'en-IN', 'zxx']",##haircut,-0.083,0.0,declining,Too late,0.0
#makeup tutorial,hashtag,youtube,2025-09-08,495,32478748,"{'gen_z': np.float64(0.51), 'millennials': np.float64(0.49)}",['lifestyle'],"['en', 'hi', 'es', 'en-GB', 'en-US', 'en-CA', 'ur', 'en-IN', 'bn', 'hi-Latn', 'zxx', 'ml', 'mr', 'en-AU']",#makeup tutorial,0.0,0.0,declining,Too late,0.0
