trend_id,volume,engagement,unique_creators,current_stage,growth_rate_7d,acceleration,sweet_spot_days_left,recommended_action
#sustainablefashion,450000,18500,"elliotduprey, zaratrendsetter, leshawnbridgewater, vogueindia, thebohemiandreamlife",emerging,38,23,7,Hop in now
#fitnesschallenge,430000,20000,"jennyfisherfitness, shainamarie.b, justinagustin, iamerike, madeline_moves",emerging,31,16,9,Hop in now
#petsoftiktok,410000,17500,"yonghui9913, wesavinganimal, mocha_che2025, furacaobucky, yonghui9913",emerging,29,14,9,Hop in now
#homedecor,400000,14000,"ownbyfemme, one.interior.mag, elledecorationfr, one.interior.mag, elledecorationfr",emerging,25,10,7,Hop in now
#gamingclips,390000,15000,"exodusv17, retrogamingnow, fnbr.reels, mrstartech, tech_guy_009",emerging,30,15,6,Hop in now
#mentalhealthmatters,380000,11000,"notcommonfacts, meredith.vanness, suicidepreventionawarenes, kings__community, chaoticallyjasmine",stable,16,1,5,Maintain position
#travelvlog,370000,12000,"ridetriptours, kaon.ashi, nickwalkerfitness, nickwalkerfitness, meganhomme",emerging,22,7,5,Hop in now
#makeuptutorial,360000,11500,"sandiebasra_, iamkaylabeauty, yasmin.ghssan, havzhin.salon, girlyyrelatable",stable,12,-3,6,Maintain position
#techreviews,350000,12500,"marek_hajn, techgusoficial, kagantech, androidauthority, tayllorlloyd",emerging,28,13,9,Hop in now
#foodhacks,340000,10500,"hacks.365, cookingwithmurph, ma_petite_bouchee, withlovestacy_, ma_petite_bouchee",stable,10,-5,3,Maintain position
#asmrcommunity,330000,10000,"foodie.on.wheelz, indianasmr_bhumika, sparkleberry_crunch_asmr, rebeccas.asmr, muvacruncha_asmr",stable,7,-8,5,Maintain position
#ecoliving,320000,15500,"becca.loveless, sswagger.hk, sswagger.hk, hereafterfarms, we_are_watching_a_movie",emerging,24,9,8,Hop in now
#parentingtips,310000,12000,"zehn_graphi, modernparentsguide, jennagallarzo, instituteofchildpsych, parentnormal",emerging,23,8,8,Hop in now
#crypto2025,300000,9000,"blueedgecrypto, my_crypto_guy, cripto.ico, blueedgecrypto, leonard_richard_xrp_",declining,-5,-20,2,Consider exit
#bookstagram,290000,11000,"bellafazzati, emmasamary, authorangelasnyder, steffdepikiti, haileesbooks",stable,13,-2,6,Maintain position
#budgetingtips,280000,12500,"jimmythefinancialcoach, mariadjonsson, economikat, f__zine, economikat",emerging,27,12,8,Hop in now
#urbanfarming,270000,12000,"marketing.growmatics, traviscnews, plantedinthegarden, youngwill2, lukasjamoul",emerging,21,6,9,Hop in now
#viralvideos,260000,9500,"mennaayman.11, goncalotraveler, lachimolala_bts15, dileepfeeds, larobenz_",stable,4,-11,5,Maintain position
#celebritylifestyle,250000,11500,"ncl.tv, chronograph_2022, hasnaa_saifaldeen, vivaromania, ayevi",stable,24,9,5,Maintain position
#memeoftheday,240000,14000,"related.zz, yourfridayguy, 333raccoonsinatrenchcoat, npcanxity, daduelking",stable,4,-11,5,Maintain position
#skincare,3500000,14000,"emilylucyrajch, trolls.zx, vischilling, _hiteshi_, spaleonelabello",peak,12,-3,3,Leverage while peak
#sustainablebeauty,2800000,15000,"iamannacasey, 4bassett, jknhomelux, chengdu_china, andy.monaghan",emerging,30,15,5,Hop in now
#cleanskincare,2500000,15500,"drericberg, arybiolove, wakeupandreadthelabels, dezdmc, madisonbrown.pac",emerging,12,-3,5,Hop in now
#beautyhacks,2400000,11500,"thaisbrazoficial, makeupby_elliee, selfcare3385, darlydistudios, amicamagazine",declining,-10,-25,1,Consider exit
#mensgrooming,2200000,12000,"onpointfreshco, miggycarbonilla, _progrooming, peaceoot, timmy_spagnolo",emerging,15,0,9,Hop in now
#nailart,2100000,16000,"by.yailene, pressonsslayedbyval, crisanianeri, weekend_nails, heajiheaji",emerging,35,20,5,Hop in now
#organicmakeup,2000000,13500,"cassandramcclure, scoopwhoop, kashkhanofficial, kwanusa9, alejandlores",emerging,20,5,7,Hop in now
#beautygadgets,1900000,17500,"5.min.crafts, 5.min.crafts, ladypanda_official, thehouseofsequins, thehouseofsequins",emerging,40,25,9,Hop in now
#beautycommunity,1850000,11000,"beauty.n.furbabyfanatic, yesstyle, belleza_con_estilo01, makeuptechniqes, ohmymichie",stable,40,25,3,Maintain position
#veganbeauty,1700000,12000,"jasmindg77, peta2, vegnews, giovannicosmetics, drbronner",emerging,28,13,5,Hop in now
#bodypositivity,1600000,14000,"meganjaynecrabbe, ambahanba, subversivesocialite, kirasabin, her.thirties",emerging,15,0,9,Hop in now
#antiaging,1500000,11500,"askayurveda_24, elixirofscience, runningfervor, valeriiaveksler, dramirkaram",stable,5,-10,5,Maintain position
#fragrance,1400000,10500,"chicgirlmoment, elletaiwan, alia.sam, oliviaolfactory, clementineberet",stable,7,-8,3,Maintain position
#skincareroutine,1350000,15500,"skinmedica, ohmymichie, aisyy14_, amandinha1, sepidehhayati",peak,12,-3,2,Leverage while peak
#beautyunboxing,1300000,16000,"jennybdoll, ta.shiya, lexiijohnson, karacraig, sonne_testet",emerging,25,10,7,Hop in now
#cosplaymakeup,1250000,15000,,emerging,20,5,7,Hop in now
#wellnessandbeauty,1200000,11500,"karlapatriciavr, dt.anushijain, melissalebor, callmeblondieee_pl, taprimedia",stable,8,-7,5,Maintain position
#specialeffects,1150000,15500,,emerging,30,15,7,Hop in now
#makeupforbeginners,1100000,11000,,stable,20,5,5,Maintain position
#wellness,8200000,15000,,emerging,18,3,5,Hop in now
#minimalism,7500000,16500,,emerging,15,4,8,Hop in now
#selfcare,7200000,15500,"dimplejangdaofficial, her.thirties, divas_thoughts, vibinwithciicii, shesospwrful",emerging,14,4,6,Hop in now
#diyhomedecor,6000000,12000,,emerging,20,5,7,Hop in now
#mindfulness,5800000,17500,"hustlingfacts, hustlingfacts, hustlingfacts, jennagallarzo, hustlingfacts",emerging,28,13,6,Hop in now
#sustainableliving,5500000,16000,,emerging,24,9,5,Hop in now
#parentinghacks,5200000,14000,,emerging,20,5,8,Hop in now
#healthyrecipes,4900000,11500,,stable,5,-10,3,Maintain position
#gardeningtips,4600000,12500,,emerging,19,4,6,Hop in now
#fitnessmotivation,4400000,11000,,stable,4,-11,3,Maintain position
#ecofriendlyproducts,4200000,15000,,emerging,26,11,7,Hop in now
#familylife,4000000,12000,"marked.real, mindandchild, elternhumor247, mansoorskm789, calicut_foodude",stable,22,7,6,Maintain position
#meditationmusic,3500000,15500,"lincolnjesser, dimplejangdaofficial, gurbanikathaeveryday, beynaamusic, lincolnjesser",emerging,21,6,9,Hop in now
#organizingtips,3300000,11500,"myorganizinginterior, myorganizinginterior, practical_perfection, homeinspirehacks, elizabethhomen",emerging,18,3,7,Hop in now
#digitalnomadlife,3100000,11000,"travelwithtaliya, yharmantrivero, katesnexttrip, hertravelempire.co, daisystraveldiaries",stable,6,-9,4,Maintain position
#luxurylifestyle,2900000,10000,,declining,-15,-30,2,Consider exit
#outdooradventures,2800000,10500,"ferlattez, bootsandfins, matt_shannon_photography, thepinnacleoutfitters, jessie_bull",stable,3,-12,3,Maintain position
#declutter,2600000,16000,"raniamvr, lemonsandlucy, la.vally, tessaenorton, mai_zimmy",emerging,17,2,5,Hop in now
#footballhighlights,1500000,15000,"_mlfootball, cfbalerts, _mlfootball, football_memorie_, insidemoments_",emerging,12,-3,9,Hop in now
#athleteworkout,1200000,14000,"plyomorph, kahsva_, kpstrength, plyomorph, plyomorph",emerging,15,0,6,Hop in now
#basketballdunk,900000,16500,"yam_cityx, nba_live_update123, topdunkcentral, toprecruitzz, tinnarios",peak,18,3,3,Leverage while peak
#extremesports,850000,17500,"redbullairforce, _rickmercs, carylcordtmoller, aly.corvin, carlotti_longboard",emerging,20,5,5,Hop in now
#womeninsports,800000,20000,"sixteenthsports, tauriel_ig, overtimechicks, livsriott, startuppakistansp",emerging,25,10,8,Hop in now
#sportsnutrition,700000,12000,"bulldogfuel, player_scout, marck_hahn, marketing.growmatics, ryan_matto",stable,10,-5,4,Maintain position
#motorsports,680000,12500,"autointerstrada, lemans15, sickntuned, motorstardom, motorstardom",emerging,14,-1,8,Hop in now
#yogaforathletes,650000,11500,"endbackpain, yoga_eauphoria, yoga_eauphoria, yoga_eauphoria, endbackpain",stable,11,-4,3,Maintain position
#fantasyfootball,600000,15500,"vikingzfanpage, vikingzfanpage, greenvillefantasyfootball, vikingzfanpage, sal_vetri",emerging,16,1,7,Hop in now
#mentalhealthsports,550000,16000,"contendunt_, manup_mensmentalhealth, ilaria.apnea, bikeable_life, calvintrieu.co",emerging,22,7,5,Hop in now
#sportsgear,530000,11000,"fantasywrestlers.ai, champions_sports_official, dublintown_, sergefortini, gq_korea",stable,9,-6,5,Maintain position
#streetbasketball,500000,17500,"coachchris_2, givingbuckets824, marthreenez, marthreenez, ligas_callejeras_tab",emerging,19,4,9,Hop in now
#sportschallenge,470000,19000,"joellemardinian, theloudestagency, rehabexercise, michaeleckert_fit, challosportsclub",emerging,23,8,9,Hop in now
#sportstravel,450000,10500,"visitdetroit, visitdetroit, tsa, sportscapade, gulliverssportstravel",stable,8,-7,4,Maintain position
#adaptivesports,420000,15000,"giulialamarca, ka_smad, frauforschung, asfvision, daniellevizcarra22",emerging,20,5,7,Hop in now
#sportsfashion,400000,12000,"bananaball, creativeye1, wgsnbrasil, houstondynamo, ikading",stable,12,-3,3,Maintain position
#marathontips,380000,11500,"kirstyhendey, sophsruns, carlethkeys, quierorun, sebastiancamposg",declining,7,-8,2,Consider exit
#sportsdocumentary,370000,12500,"reelrock, chrisanorton16, screenrant, victoryroadplus, farihaarazak",stable,10,-5,6,Maintain position
#fitnessrecovery,360000,14000,"mrolympiallc, the_benshepherd, jakeclayfit, the_average_joe89, bengreenfieldfitness",emerging,13,-2,6,Hop in now
#esportstraining,350000,18500,"trustgaming, prince.1of1, racingunleashed_official, evalgames, h2toons_",emerging,15,0,6,Hop in now
#mentalhealth,5000000,15500,"chosen_2_reign, exploring.therapy, serotoninmemes, chuckdrawsthings, chosen_2_reign",emerging,20,5,9,Hop in now
#homeworkout,4200000,20000,"aquinitofit, aquinitofit, workout_athletics, justinagustin, justinagustin",stable,5,-10,3,Maintain position
#plantbased,3900000,15000,"chefshanef, doutorbarakat, tappedinwellness, vegantreats, rotaveg",emerging,22,7,9,Hop in now
#sleeptips,3000000,16000,"just_chill_mama, unilad, deol_amrit, quotesandhealing, getthegloss",emerging,18,3,5,Hop in now
#guthealth,2800000,16500,"doctor.sethi, reframe_app, make_kids_healthy_again, drwillcole, dimplejangdaofficial",emerging,15,0,7,Hop in now
#meditation,2700000,14000,"meccadreams, womanknowthyself, yoga_international, yogaeyal, lucia.terapeut",stable,8,-7,3,Maintain position
#immuneboost,2500000,19000,"dimplejangdaofficial, naturethecure, dr_ra7eem_power_every_night, ketosimple.ig, naturethecure",stable,6,-9,3,Maintain position
