trend_id,token_type,platform,date,volume,engagement,audience_signals,category,geo,raw_token,growth_rate_7d,acceleration,current_stage,recommended_action,products,best_loreal_product,product_score,brand_matches,best_brands,brand_scores
#shorts,hashtag,youtube,7/9/2025,9739,37255097,"{'gen_z': np.float64(0.75), 'millennials': np.float64(0.25)}","['lifestyle', 'health', 'general']","['hi', 'en', 'ru', 'ur', 'en-GB', 'en-IN', 'en-US', 'ta', 'bn-IN', 'bn', 'zxx', 'hi-Latn', 'or', 'fa-IR', 'id', 'kn', 'te', 'zh-CN', 'ar', 'it']",#shorts,-0.111,0.667,peak,Maintain visibility,"moisturizer, body lotion, face powder, lipstick, eyeliner, eyeshadow, face mask, foundation, blush, serum, lip liner, sunscreen, perfume, shampoo, hair mist, gua sha, contour, concealer, body serum, primer, hair treatment, highlighter, bronzer, body scrub, lip gloss, cream blush, powder blush, comb, glossy lipstick, acne treatment, body polish, acrylic nails, hair detangler, body mist, hair serum, brightening serum, hair wax, hair dryer, compact powder, matte lipstick, makeup brush, exfoliator, shaving cream, face palette, foundation stick, liquid lipstick, liquid foundation, mascara, deodorant, face scrub, lip balm, curling iron, setting powder, toner, face mist, hair clip, lip lacquer, brow pomade, eye cream, hydrating toner, lip stain, hydrating gel, lip crayon, lip tint, brow gel, beauty blender, brush set, setting spray, keratin treatment, hand cream, night cream, cream highlighter, loose powder, conditioner, makeup remover, face primer, waterproof mascara, foot cream, brush cleaner, hair mousse, scalp treatment, body butter, lip pencil, body oil, headband, hair spray, hair mask, hair oil, lip brush, clay mask, nail polish, pressed powder, body cream, body shimmer, face oil, lip oil, brow pencil, hair gel, illuminator, eyebrow pen, eyebrow pencil, powder contour, body wash, makeup palette, blending brush, makeup brush set, sunblock, nail polish remover, dry shampoo, eye shadow palette, makeup sponge, tinted moisturizer, sheet mask, beard oil, foundation brush, hair brush, foundation primer, lip mask, body spray, lip butter, powder highlighter, hair growth serum, fan brush, eyebrow powder, exfoliating glove, stick foundation, herbal cream, cream eyeshadow, cream contour, night serum, micellar water, essential oil, makeup organizer, face roller, lash curler, eyelash curler, gel eyeliner, curl cream, shower gel, lip scrub, kohl eyeliner, rejuvenating cream, hair tie, liquid eyeliner, body milk, facial roller, massage oil, eye makeup remover, body mask, body wash gel, face cleanser, whitening cream, tweezers, concealer brush, smoothing cream, hair cream, lip plumper, foot mask, eyelid primer, hair essence, hair straightening cream, hair tonic, hair strengthening mask, powder brush, eyebrow brush, eye cream gel, body toner, spa cream, hot brush, angled brush, body moisturizer, eye serum, heat protectant spray, facial lotion, body exfoliator, body perfume, false eyelashes, hair clay, hair styling cream, hyaluronic acid serum","Glycolic Bright
Glycolic Bright 8% [Melasyl ™ + Glycolic + Niacinamide] face serum for Dark Spot & Brightening 30ml",100,"[('Garnier', 57), ('Maybelline New York', 53), ('NYX Professional Makeup', 52)]","['Garnier', 'Maybelline New York', 'NYX Professional Makeup']","[57, 53, 52]"
#makeup,hashtag,youtube,7/9/2025,4091,70248158,"{'gen_z': np.float64(0.46), 'millennials': np.float64(0.54)}","['lifestyle', 'general', 'health']","['en', 'en-GB', 'hi', 'en-IN', 'ml', 'es', 'id', 'en-US', 'ur', 'de-AT', 'mr', 'zxx', 'bn-IN', 'te', 'en-CA', 'es-419', 'bn', 'pt', 'hi-Latn', 'ar', 'en-AU', 'kn', 'es-ES']",#makeup,0,-0.333,declining,Too late,"bronzer, contour, lipstick, eyeliner, eyeshadow, face mask, hair mask, face powder, sunscreen, lip liner, foundation, highlighter, blush, shampoo, hair mist, comb, mascara, concealer, primer, hair treatment, serum, moisturizer, lip gloss, matte lipstick, cream blush, powder blush, glossy lipstick, hair serum, body mist, makeup brush, powder highlighter, loose powder, setting spray, liquid lipstick, lip pencil, brow pencil, eyebrow pen, eyebrow pencil, foundation stick, setting powder, perfume, body lotion, powder contour, brow pomade, toner, eye cream, hydrating toner, lip stain, lip crayon, lip tint, lip oil, brow gel, beauty blender, brush set, hair clip, waterproof mascara, makeup remover, face primer, hair dryer, lip balm, lip butter, tinted moisturizer, pressed powder, scalp treatment, compact powder, tweezers, body oil, makeup palette, illuminator, face palette, body wash, lip brush, body perfume, exfoliator, blending brush, keratin treatment, sunblock, lip plumper, stick foundation, false eyelashes, beard oil, foundation primer, hair spray, night cream, body butter, lip lacquer, liquid foundation, eyebrow powder, hyaluronic acid serum, hand cream, hair gel, conditioner, hair oil, powder brush, eye serum, body polish, deodorant, lash curler, eyelash curler, body spray, cream contour, mascara primer, headband, sheet mask, makeup organizer, face roller, gel eyeliner, cream highlighter, eyelash glue, cream eyeshadow, liquid eyeliner, curling iron, nail polish, acrylic nails, makeup brush set, eye shadow palette, kabuki brush, body cream, foundation brush, acne treatment, lip mask, body serum, face scrub, makeup sponge, eye makeup remover, face oil, body shimmer, dry shampoo, lip conditioner, brightening serum, hair cream, face mist, concealer brush, angled brush, pore minimizer, shower gel, body scrub, pore cleanser, hair growth serum, whitening cream, hair wax, kohl eyeliner, hair brush, night serum, gua sha, lip scrub, face cleanser, hot brush, retinol cream, body moisturizer, eyelid primer, compact concealer, detox mask, clay mask, body mask, massage oil, hair tie, micellar water, eyelash serum, eyeshadow brush","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Garnier', 57), ('Maybelline New York', 53)]","['Garnier', 'Maybelline New York']","[57, 53]"
#yoga,hashtag,youtube,7/9/2025,3075,1352141,"{'gen_z': np.float64(0.49), 'millennials': np.float64(0.51)}","['health', 'lifestyle', 'general']","['hi', 'en', 'en-IN', 'zxx']",#yoga,1,0.333,emerging,Hop on now,"gua sha, comb, contour, lipstick, serum, acne treatment, blush, shampoo, face oil, massage oil, face mask, face mist, body cream","Glycolic Bright
Anti-Dark Spot Exfoliant Peel",100,"[('Essie', 60), ('Armani Beauty', 54), ('Maison Margiela', 53)]","['Essie', 'Armani Beauty', 'Maison Margiela']","[60, 54, 53]"
#facelift,hashtag,youtube,7/9/2025,2407,616522,"{'gen_z': np.float64(0.66), 'millennials': np.float64(0.34)}","['health', 'lifestyle']","['en-US', 'es', 'en', 'zxx', 'hi']",#facelift,0,0.667,peak,Maintain visibility,"gua sha, contour, blush, bronzer, highlighter, concealer, massage oil, comb, toner, serum, shampoo, face mask, face mist, sunscreen, jade roller, eyeliner, lipstick, body cream","Infallible
Full Wear More Than Concealer",100,"[('CeraVe', 67), ('Garnier', 57)]","['CeraVe', 'Garnier']","[67, 57]"
#beauty,hashtag,youtube,7/9/2025,2038,44001722,"{'gen_z': np.float64(0.44), 'millennials': np.float64(0.56)}","['lifestyle', 'general', 'health']","['en-US', 'en', 'hi', 'en-IN', 'en-GB', 'id', 'de-AT', 'ur', 'zxx', 'es-419', 'en-CA', 'pt', 'mr', 'ru', 'ta', 'ko', 'ne', 'de']",#beauty,0,0,declining,Too late,"foundation, lipstick, mascara, eyeshadow, blush, gua sha, comb, eye cream, lip balm, eyeliner, highlighter, concealer, powder highlighter, body balm, hair treatment, serum, bronzer, body scrub, lip gloss, cream blush, powder blush, contour, brightening serum, primer, sunscreen, cushion foundation, matte lipstick, perfume, toner, moisturizer, face mist, headband, body cream, shampoo, lip liner, lip crayon, foundation stick, lip tint, brow gel, setting powder, makeup brush, beauty blender, brush set, hair clip, keratin treatment, face mask, conditioner, face primer, waterproof mascara, sheet mask, curling iron, setting spray, hair mask, scalp treatment, lip butter, tinted moisturizer, hair dryer, body oil, body lotion, body shimmer, body mist, face oil, lip oil, hair oil, acrylic nails, face palette, powder contour, hand cream, makeup remover, body wash, lip brush, makeup palette, body perfume, exfoliator, lip pencil, nail polish, nail polish remover, hair serum, face scrub, body serum, hyaluronic acid serum, dry shampoo, loose powder, liquid foundation, body polish, massage oil, illuminator, hand mask, brow pencil, liquid eyeliner, stick foundation, liquid lipstick, cream eyeshadow, eyebrow pen, eyebrow pencil, pressed powder, eyebrow powder, compact powder, hair spray, hair growth serum, sunblock, facial foam, face powder, hydrating toner, lip plumper, blending brush, kabuki brush, deodorant, lip lacquer, hair brush, acne treatment, lip mask, gel eyeliner, night cream, essential oil, lash curler, eyelash curler, cream highlighter, beard oil, night serum, body spray, shower gel, whitening cream, brightening body lotion, lip stain, eyelash serum, lip conditioner, body mask, hair gel, hair cream, eye shadow palette, face cleanser, cream contour, retinol cream, eye serum, lip scrub, eye makeup remover, body moisturizer, foundation brush, body exfoliator, micellar water, glossy lipstick, detox mask, concealer brush, shaving cream, clay mask, foundation primer, hair tie, hydrating body cream, kohl eyeliner","Infallible
32H FreshWear Foundation",100,"[('Carita', 67), ('Valentino', 56), ('Urban Decay', 55)]","['Carita', 'Valentino', 'Urban Decay']","[67, 56, 55]"
#skincare,hashtag,youtube,7/9/2025,1868,7972476,"{'gen_z': np.float64(0.77), 'millennials': np.float64(0.23)}","['health', 'lifestyle', 'general']","['en-US', 'ml', 'id', 'en', 'en-IN', 'ur', 'en-GB', 'hi', 'es-419', 'ta', 'hi-Latn', 'te', 'zxx', 'ko', 'en-CA', 'fa-IR']",#skincare,0,1,peak,Maintain visibility,"face powder, blush, lipstick, eyeshadow, bronzer, gua sha, comb, sunscreen, contour, serum, perfume, foundation, toner, moisturizer, eyeliner, highlighter, mascara, matte lipstick, face mask, face scrub, face mist, brightening serum, primer, hair wax, body wash, body lotion, body scrub, whitening cream, lip balm, lip scrub, lip mask, eye cream, shampoo, night cream, sheet mask, acne treatment, body oil, lip liner, hair dryer, concealer, scalp treatment, conditioner, liquid lipstick, compact powder, pressed powder, body cream, setting spray, makeup palette, setting powder, body mist, lip gloss, makeup remover, makeup brush, lip brush, body perfume, soothing gel, eye serum, lip tint, foundation stick, nail polish, nail polish remover, hair oil, hair serum, foundation primer, hair mask, deodorant, face oil, lip butter, face cleanser, clay mask, hyaluronic acid serum, powder blush, hand cream, body spray, body milk, brow pencil, eyebrow pen, eyebrow pencil, body butter, liquid foundation, massage oil, illuminator, hair treatment, keratin treatment, night serum, lip oil, brow gel, sunblock, cream highlighter, cream eyeshadow, hydrating toner, essential oil, exfoliator, facial foam, shower gel, cushion foundation, body serum, rejuvenating cream, beauty blender, hair brush, face roller, gel eyeliner, liquid eyeliner, acrylic nails, cream blush, powder highlighter, hair spray, lip crayon, beard oil, lip conditioner, body polish, body balm, lip plumper, headband, repair cream, lip stain, micellar water, loose powder, foundation brush, blending brush, brush set, tinted moisturizer, lip pencil, body mask, cream contour, brightening body lotion, eye shadow palette, stick foundation, body moisturizer, body shimmer, waterproof mascara, facial lotion, foot cream, body exfoliator, retinol cream, detox mask, hair mist, hair tie, hydrating body cream, lip lacquer, hair clip, jade roller","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('SkinCeuticals', 54), ('Helena Rubinstein', 53)]","['SkinCeuticals', 'Helena Rubinstein']","[54, 53]"
#youtubeshorts,hashtag,youtube,7/9/2025,1745,10299515,"{'gen_z': np.float64(0.4), 'millennials': np.float64(0.6)}","['lifestyle', 'general']","['hi', 'en-GB', 'as', 'en', 'bn-IN', 'en-US', 'ml', 'ur']",#youtubeshorts,0.5,0.333,emerging,Hop on now,"face mask, foundation, blush, hair mask, perfume, lipstick, contour, concealer, primer, sunscreen, moisturizer, hair treatment, eyeliner, serum, lip tint, bronzer, body mist, brightening serum, hair wax, hair dryer, compact powder, liquid lipstick, eyeshadow, highlighter, liquid foundation, mascara, lip liner, makeup brush, hair clip, comb, body lotion, lip gloss, lip crayon, foundation stick, night cream, setting spray, brow gel, loose powder, shampoo, body scrub, scalp treatment, keratin treatment, toner, matte lipstick, brow pencil, hair serum, glossy lipstick, lip balm, hair oil, body oil, setting powder, body serum, body wash, brush set, conditioner, face powder, deodorant, sunblock, lip plumper, cream blush, foundation primer, body spray, hair spray, body butter, hair gel, lip lacquer, face cleanser, illuminator, face palette, stick foundation, makeup remover, hair tonic, sheet mask, hair growth serum, cream eyeshadow, cream contour, powder contour, face oil, exfoliator, night serum, eyebrow pen, eyebrow pencil, face scrub, beauty blender, tinted moisturizer, lip oil, body shimmer, acne treatment, makeup organizer, face roller, eye cream, face mist, hydrating toner, nail polish, acrylic nails, brow pomade, gel eyeliner, curl cream, makeup brush set, lip mask, hair tie, curling iron, lip pencil, body cream, clay mask, lip butter, powder blush, foot cream, face primer, eye shadow palette, makeup sponge, gua sha, beard oil, dry shampoo, cream highlighter, body mask, essential oil, face wipes, whitening cream, headband, pressed powder, false eyelashes, body polish, massage oil, hair straightening cream, hand cream, powder highlighter, lip scrub, hair cream, hair styling cream, hair mist, waterproof mascara, eye serum, makeup palette, heat protectant spray, liquid eyeliner, detox mask, hyaluronic acid serum","Infallible
32H FreshWear Foundation",100,,,
#trending,hashtag,youtube,7/9/2025,1630,7264627,"{'gen_z': np.float64(0.44), 'millennials': np.float64(0.56)}","['health', 'lifestyle', 'general', 'food']","['hi', 'en', 'ur', 'bn-IN', 'en-GB', 'en-IN', 'zxx', 'en-US', 'ta']",#trending,-0.1,-0.714,declining,Too late,"lipstick, eyeliner, eyeshadow, face mask, hair mask, foundation, highlighter, gua sha, perfume, contour, concealer, primer, hair treatment, sunscreen, serum, moisturizer, blush, hair serum, body lotion, lip liner, mascara, cream blush, bronzer, comb, hair clip, keratin treatment, night cream, makeup remover, loose powder, setting spray, whitening cream, beauty blender, toner, matte lipstick, body butter, shampoo, deodorant, body mist, body serum, stick foundation, makeup brush, aftershave, face scrub, headband, conditioner, lip gloss, acne treatment, face powder, lip balm, lip tint, foundation stick, hair oil, brow gel, face primer, powder blush, lip mask, hair spray, powder highlighter, hair brush, hair gel, eyebrow powder, body wash, hair tonic, hair dryer, sheet mask, hair growth serum, nail polish, face oil, cream contour, setting powder, makeup organizer, face roller, face mist, hydrating toner, body toner, liquid lipstick, acrylic nails, body scrub, lash curler, eyelash curler, curl cream, facial foam, body spray, shower gel, body oil, hand cream, lip oil, lip crayon, lip pencil, liquid foundation, scalp treatment, clay mask, body moisturizer, hydrating mask, eye makeup remover, makeup brush set, makeup palette, brush set, compact powder, exfoliator, face palette, body shimmer, dry shampoo, body wash gel, lip butter, smoothing cream, brow pencil, eyebrow pen, eyebrow pencil, hair cream, powder contour, brightening body lotion, essential oil, beard oil, eye cream, body mask, waterproof mascara, curling iron, night serum, tinted moisturizer, eye cream gel, brightening serum, sunblock, body cream, lip plumper, illuminator, compact concealer, glossy lipstick, shaving cream, body polish, retinol cream, hair wax, body perfume, foundation primer, body milk, eyelash serum, liquid eyeliner, eye shadow palette, hair styling cream","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Redken', 67), ('Yves Saint Laurent Beauté', 52), ('Viktor & Rolf', 51)]","['Redken', 'Yves Saint Laurent Beauté', 'Viktor & Rolf']","[67, 52, 51]"
#wrinkles,hashtag,youtube,7/9/2025,1616,103202,"{'gen_z': np.float64(0.52), 'millennials': np.float64(0.48)}","['lifestyle', 'health']","['ur', 'en-US', 'en', 'zxx', 'hi']",#wrinkles,0.333,0.333,emerging,Hop on now,"gua sha, jade roller, comb, contour, face mask, face scrub, body scrub, body wash, whitening cream, serum, face oil, massage oil, setting spray, hand cream, night cream, lipstick, eyeshadow, perfume, night serum, moisturizer, primer, toner, shampoo, sunscreen, concealer, face mist, hair tonic, eye cream, foundation, mascara, lip balm","Glycolic Bright
Anti-Dark Spot Exfoliant Peel",100,"[('Prada', 60), ('Armani Beauty', 54)]","['Prada', 'Armani Beauty']","[60, 54]"
#faceyoga,hashtag,youtube,7/9/2025,1555,1467940,"{'gen_z': np.float64(0.6), 'millennials': np.float64(0.4)}","['lifestyle', 'health', 'general']","['hi', 'en-US', 'en-IN', 'en']",#faceyoga,0.333,0.333,emerging,Hop on now,"gua sha, comb, contour, serum, acne treatment, moisturizer, massage oil, blush, shampoo, dry shampoo, face mask, face oil, whitening cream, face mist, jade roller, eye cream, eyeshadow, body cream","Glycolic Bright
Anti-Dark Spot Exfoliant Peel",100,"[('Garnier', 57), ('Armani Beauty', 54)]","['Garnier', 'Armani Beauty']","[57, 54]"
