trend_id,token_type,platform,date,volume,engagement,unique_creators,audience_signals,category,geo
Bill Gates,keyword,x,8/1/2025,145000,1483981,"['invitrogen', 'MichiganPK', 'JoWiseconative', 'Jekklez1980', 'scherer_karla', 'carlyvanheerden', 'LeBonTravel', 'TRohanian', 'zacblack117', 'DAmericasFuture', 'ygbsmpeople', 'SBleftCA', 'Richard10221751', 'blucat88', 'GlendaOleson', 'Patrici54126290', 'grok', 'david_sisye']","{'gen_z': 0.87, 'millennials': 0.13}",,Switzerland
Chargers,keyword,x,8/2/2025,103000,812681,"['ChargersMemes', 'KMASports', 'Philipp_Swl', 'tiMCrow666', 'Rheal_Tboy', 'TheMeatDragon', 'himmovie', 'CaribbeanTitan', 'Landis_welch777', 'burdknowsball', 'grok', 'Dielon_13', 'DreamOfTy_', 'Ojibwe_Viking', 'friezsnake', 'burst_sports', 'itsmfrip', 'BobDeLacyJr', 'Jonathanstewar1', 'basedcaliber']","{'gen_z': 0.82, 'millennials': 0.18}",,Paris
From CNBLUE UN Support,keyword,x,8/3/2025,,9909,"['CNBLUE_UN_Spt', 'AmkaLurun', 'lizhimin778863', 'wnyeffects', 'dinimollababy', 'sg_shirleyc', 'Ainnahah', 'lovely_eyla', 'JYHBestRockStar', 'w_anggra']","{'gen_z': 0.04, 'millennials': 0.96}",,Malaysia
#DICE_THEMYSTICROLL,hashtag,x,8/4/2025,29000,2330,"['kkanansi', '22andjunii', 'Laboonrental', 'KimMatalinn', 'vickynakai', 'seasid3_', 'cherishjapo', 'jpgfphone97', 'aa_aasc', 'somondae', 'pajinkoo', 'Anna07016', 'reanhipp_o', 'jintotheyin', 'ScorpiiPong', 'cherrierubyp', 'ntps_', 'barneymkk', 'Chanattt__', 'BoMMeKuN']","{'gen_z': 0.19, 'millennials': 0.81}",,Thailand
Pacheco,keyword,x,8/4/2025,,895,"['J_M_clucellas', 'jenpiacenti', 'DFBrothers', 'nhuzue', 'jmeyers217', 'pacheco_goulart', 'onlydeelight', 'KingOfLeawood', 'YZR_Fantasy', 'nuclearffnolan', 'hijadeyutas', 'PDBetss', '_BushaT', 'cssavedme', 'bronson_OG', 'chrislr15r', 'Andrew_Gass', 'Evandro578540']","{'gen_z': 0.68, 'millennials': 0.32}",,United States
COVID-19,keyword,x,8/4/2025,45000,172,"['tampa_npa', 'ikeguchitf64', 'tatiann69922625', 'twiddessofmusic', 'P1231032850', 'Pamelall', 'BrownM37465', 'Do_Not__Comply', 'epw_in', 'TheNationNews', 'grok', 'MillerWebuzr', 'beemoneey_', 'ymori117']","{'gen_z': 0.99, 'millennials': 0.01}",,Switzerland
Chargers,keyword,x,8/4/2025,102000,205589,"['Lolotips', 'AzspNews', 'Mason77514013', 'CEtalks', 'y0rdan__', 'kingmarrun276', 'JordanFWinter', 'AmericaInvests', 'LASlayer13', 'EternalMis42758', 'himmovie', 'ChiefsOutWest', 'lukasnevosad', 'populartahj', 'CarnivoreGuy', 'jiguhhboohoo', 'TKMGMT04', 'nflpress_digest', 'henryzzle', 'ZStuehler']","{'gen_z': 0.0, 'millennials': 1.0}",,Australia
#FanBenefitTourwithgulf,hashtag,x,8/4/2025,,206,"['Kanawut_Nora', 'TeamKanaItaly', 'Srt_aeea', 'YOU12301489', 'Trust_UUUU', 'M86858694', 'umi16756200', 'Pbsunflower14', 'JaitipJu', 'aon_baon', 'pvGulf', 'BebeSwk', 'phaengnet', 'Dolly85382269', 'suenoi41', 'bg041217', 'GKanawut81513']","{'gen_z': 0.57, 'millennials': 0.43}",,Thailand
#LetsGlowPING,hashtag,x,8/4/2025,18000,600,"['Courtneyy069', 'whuwhu_', 'MMoonlover11', 'PtrSupport', 'butterntp', 'melodyxixi9', 'yingbenlkn', 'Anna141995', 'meanmean1m', 'lxxkmook', 'ss501_wiwit', 'utriibellinda88', 'gsn_s284', 'JuthathipS39695']","{'gen_z': 0.35, 'millennials': 0.65}",,Thailand
Western United,keyword,x,8/4/2025,,191612,"['wests_glory', 'The_JBS', 'NickGalatas', 'PengAmy1', 'maphumanintent', 'ArthurKiousis', 'the_stumpy', 'GileArkinon', 'IsraelMilitaryC', 'joeylynchy', 'AmericaInvests', 'georgechocola', 'abcsport', 'footballvic', 'thewswpost', 'CosmicMatt92', 'DPhimphisane', 'azulabetter', 'herwaysports']","{'gen_z': 0.25, 'millennials': 0.75}",,Australia
Chargers,keyword,x,8/5/2025,106000,812716,"['Jonathanstewar1', 'KMASports', 'grok', 'basedcaliber', 'ChargersMemes', 'Rheal_Tboy', 'Philipp_Swl', 'himmovie', 'burdknowsball', 'Landis_welch777', 'BobDeLacyJr', 'itsmfrip', 'TheMeatDragon', 'DreamOfTy_', 'historicpickups', 'Dielon_13', 'burst_sports', 'DavidMc21883433', 'CaribbeanTitan', 'IsaihSenpai']","{'gen_z': 0.73, 'millennials': 0.27}",,Munich
Phase 3,keyword,x,8/5/2025,92000,8480,"['mb__billions', 'domauto', 'Donkers49', 'kss012493', 'Deadnads', 'Palash433', 'rec777777', 'eRotation', 'grok', 'RPRealtyPlus', 'Erman_Akkus', 'vivarevleb', '_____jd____', 'Rony_201000', 'geng_gold', 'optimist9_3', 'MetroRailToday_', 'toresaidk', 'Valakus']","{'gen_z': 0.24, 'millennials': 0.76}",,United Kingdom
#21stPingBDMerit,hashtag,x,8/5/2025,,8100,"['knulekk_KN', 'SUPPORTMEENPING', 'nnnnnn_niiii', 'yingbenlkn', 'TYommana', 'NOK_1212', 'Arriya2P45880', 'pinocchioohh', 'MeowWoody67166', 'dymppp', 'Thida_aiw', 'aoynaka_igot7', 'YakuboeGi', 'wrphririmilint1', 'nok5joke', 'DawanSangt88']","{'gen_z': 0.36, 'millennials': 0.64}",,Thailand
